id,title,year,gross
3715308,Furry Vengeance,2010,17596256
3716974,G-Force,2009,119436770
3717089,G.I. Joe: Retaliation,2013,122523060
3717095,G.I. Joe: The Rise of Cobra,2009,152267519
3717764,Gagsters: The Movie,2011,370
3719361,Gamer,2009,20488579
3720488,Gangster Squad,2013,46000903
3721758,GasLand,2010,30846
3724715,General Education,2012,8601
3724886,Generation Iron,2013,849521
3724915,Generation P,2011,6724
3725742,Gentlemen Broncos,2009,113155
3727409,Get Him to the Greek,2010,60974475
3727470,Get Low,2009,9176553
3727837,Getaway,2013,10494494
3728937,Ghetto Physics,2010,10087
3729391,Ghost Rider: Spirit of Vengeance,2011,51774002
3729801,Ghosts of Girlfriends Past,2009,55250026
3730366,Gibsonburg,2013,247500
3731055,Gimme Shelter,2013,1359563
3731068,Gimme the Loot,2012,97768
3732064,Girl in Progress,2012,2594878
3732131,Girl Model,2011,21154
3732133,Girl Most Likely,2012,1378426
3732177,Girl on a Bicycle,2013,89378
3732566,Girls Against Boys,2012,6111
3735014,Glee: The 3D Concert Movie,2011,11860839
3736375,GMO OMG,2013,39900
3736467,Gnomeo & Juliet,2011,99967670
3736623,Go for It!,2011,178739
3736625,Go for Sisters,2013,55963
3736662,Go Get Some Rosemary,2009,20728
3737163,God Bless America,2011,122029
3737353,God Loves Uganda,2013,47991
3737395,God of Vampires,2010,56705
3738660,Going the Distance,2010,17804299
3740448,Gone,2012,11653123
3741170,Good Deeds,2012,35025791
3741382,Good Hair,2009,4157104
3741777,Good Ol' Freda,2013,136742
3742718,Goon,2011,4168144
3742995,Gore Vidal: The United States of Amnesia,2013,127743
3743875,Gottfried Helnwein and the Dreaming Child,2011,402
3744321,Grace,2009,6174
3744498,Grace Unplugged,2013,2507106
3745317,Grand Piano,2013,22353
3745913,Granito,2011,37790
3746193,Grassroots,2012,6497
3746482,Gravity,2013,274092705
3746907,Great Directors,2009,17921
3746931,Great Expectations,2012,258656
3747445,Greedy Lying Bastards,2012,93511
3747736,Green Guys,2011,710
3747766,Green Lantern,2011,116601172
3747921,Green Zone,2010,35053660
3747942,Greenberg,2010,4216789
3748230,Gregory Crewdson: Brief Encounters,2012,58978
3749100,Gringo Trails,2013,7587
3749986,Grown Ups,2010,162001186
3749989,Grown Ups 2,2013,133668525
3750164,Grudge Match,2013,29807260
3752277,Gulliver's Travels,2010,42779261
3752526,Gun Hill Road,2011,148994
3753672,Gutta Story,2011,17192
3753777,Guy and Madeline on a Park Bench,2009,35556
3758435,Hall Pass,2011,45060734
3758659,Halloween II,2009,33392973
3759315,Hamill,2010,75729
3760661,Handsome Harry,2009,22878
3761050,Hank and Asha,2013,10544
3761131,Hanna,2011,40259119
3761231,Hannah Montana: The Movie,2009,79566871
3761572,Hansel & Gretel: Witch Hunters,2013,55703475
3762059,Happiness Runs,2010,6051
3763047,Happy Tears,2009,22377
3763222,Happythankyoumoreplease,2010,215576
3764309,Hardflip,2012,96734
3765350,Harry Potter and the Deathly Hallows: Part 1,2010,295983305
3765351,Harry Potter and the Deathly Hallows: Part 2,2011,381011219
3765361,Harry Potter and the Half-Blood Prince,2009,301959197
3765751,Harvest,2010,24073
3765813,Harvest of Empire,2012,57566
3766092,Hashmatsa,2009,11410
3766457,Hatchet II,2010,62000
3766586,Hateship Loveship,2013,50573
3766632,Hating Breitbart,2012,81432
3767311,Hava Nagila: The Movie,2012,369753
3768284,Haywire,2011,18942396
3769139,He's Just Not That Into You,2009,93953653
3769289,Head Games,2012,14056
3773905,Hell and Back Again,2011,40634
3773920,Hell Baby,2013,4980
3774645,Hello Herman,2012,5985
3774657,Hello I Must Be Going,2012,106709
3776082,Henry's Crime,2010,101882
3776247,Her,2013,25568251
3776432,Her Cry: La Llorona Investigation,2013,29000
3777405,Herb & Dorothy 50X50,2013,6157
3777765,Here Comes the Boom,2012,45290318
3778113,Hereafter,2010,32746941
3778348,Herman's House,2012,4669
3779421,Hesher,2010,382946
3780463,"Hey, Boo: Harper Lee and 'To Kill a Mockingbird'",2010,31135
3782187,High School,2010,1039034
3782394,"High Tech, Low Life",2012,3032
3782542,Higher Ground,2011,841206
3786817,Hit and Run,2012,13746550
3786927,Hit So Hard,2011,30402
3787022,Hitchcock,2012,6008677
3789576,Holla II,2013,41537
3790838,Holy Rollers,2010,302886
3791835,Home Run,2013,2859955
3792142,Homecoming,2009,8500000
3792226,Homefront,2013,19783777
3792381,Homeless for the Holidays,2009,31477
3794267,Hoodwinked Too! Hood vs. Evil,2011,10143779
3794679,Hop,2011,108085305
3794990,Hope Springs,2012,63536011
3795572,Horns,2013,164480
3795788,Horrible Bosses,2011,117538559
3797828,Hot Tub Time Machine,2010,50287556
3798162,Hotel for Dogs,2009,73034460
3798379,Hotel Transylvania,2012,148313048
3798787,House at the End of the Street,2012,31611916
3799072,House of Good and Evil,2013,560000
3800044,How Do You Know,2010,30212620
3800258,How I Got Lost,2009,55000
3800496,"How Much Does Your Building Weigh, Mr Foster?",2010,12743
3801368,How to Grow a Band,2011,19237
3801457,How to Live Forever,2009,58764
3801576,How to Make Money Selling Drugs,2012,1500000
3801834,How to Survive a Plague,2012,132055
3801896,How to Train Your Dragon,2010,217581231
3802305,Howl,2010,617334
3803574,Hugo,2011,73864507
3804594,Hummingbird,2013,34956
3804685,Humpday,2009,406943
3808433,I Am,2010,1571355
3808689,I Am Divine,2013,63661
3809023,I Am Number Four,2011,55100437
3809597,I Can Do Bad All by Myself,2009,51733921
3810297,I Don't Know How She Does It,2011,9659074
3811153,I Hate Valentine's Day,2009,10060
3811373,I Hope They Serve Beer in Hell,2009,1425993
3811543,I Kissed a Vampire,2010,1380
3812422,I Love You Phillip Morris,2009,2035566
3812456,"I Love You, Beth Cooper",2009,14793904
3812480,"I Love You, Man",2009,71440011
3812683,I Melt with You,2011,4795
3813863,I Spit on Your Grave,2010,93051
3813864,I Spit on Your Grave 2,2013,441
3814296,I Used to Be Darker,2013,21964
3814720,I Want Your Money,2010,425899
3814950,I Will Follow,2010,360000
3815811,I'm in Love with a Church Girl,2013,2380405
3816173,I'm Still Here,2010,408719
3817112,Ice Age: Continental Drift,2012,161321843
3817119,Ice Age: Dawn of the Dinosaurs,2009,196573705
3818708,Identity Thief,2013,134506920
3819191,If a Tree Falls: A Story of the Earth Liberation Front,2011,61794
3819308,If I Die Tonight,2009,20175
3819744,If You Build It,2013,4949
3826695,Imagine That,2009,16088610
3827186,Immigration Tango,2010,23812
3827319,Immortals,2011,83504017
3828635,In a World...,2013,2962542
3830358,In My Sleep,2010,57190
3831122,In Secret,2013,420266
3831937,In the Family,2011,15724
3832247,In the Land of Blood and Honey,2011,303877
3833361,In Time,2011,37553932
3833841,In/Significant Others,2009,3763
3833970,InAPPropriate Comedy,2013,156414
3834303,Inception,2010,292576195
3836112,Inequality for All,2013,1205079
3837056,Inglourious Basterds,2009,120540719
3837173,Inhale,2010,4115
3837724,Inkubus,2011,81600
3839322,Inside Job,2010,4312735
3839352,Inside Llewyn Davis,2013,13235319
3839992,Insidious,2010,54009150
3839998,Insidious: Chapter 2,2013,83586447
3840017,InSight,2011,17011
3840267,InSpectres,2013,2175
3841296,Interior. Leather Bar.,2013,40862
3842898,Into the Abyss,2011,216262
3843707,Intruders,2011,69136
3844129,Inventing Our Life: The Kibbutz Experiment,2010,14413
3844293,Invictus,2009,37491364
3845457,Irene in Time,2009,194316
3845934,Iron Man 2,2010,312433331
3845947,Iron Man Three,2013,409013994
3848107,Isso Me Atormenta!,2010,2200548
3848641,It Felt Like Love,2013,31173
3849333,It's a Disaster,2012,38100
3849837,It's Complicated,2009,112735375
